0  | 0.9995  0.995   0.99      0.975   0.95      0.90      0.85      0.80      0.75      0.70
1  | 636.6192  63.65674  63.6567412  12.70620  12.7062047  6.3137515 4.1652998 3.0776835 2.4142136 1.9626105
2  | 31.5991 9.92484 9.9248432 4.30265 4.3026527 2.9199856 2.2819306 1.8856181 1.6035675 1.3862066
3  | 12.9240 5.84091 5.8409093 3.18245 3.1824463 2.3533634 1.9243197 1.6377444 1.4226253 1.2497781
4  | 8.6103  4.60409 4.6040949 2.77645 2.7764451 2.1318468 1.7781922 1.5332063 1.3443976 1.1895669
5  | 6.8688  4.03214 4.0321430 2.57058 2.5705818 2.0150484 1.6993626 1.4758840 1.3009490 1.1557673
6  | 5.9588  3.70743 3.7074280 2.44691 2.4469119 1.9431803 1.6501732 1.4397557 1.2733493 1.1341569
7  | 5.4079  3.49948 3.4994833 2.36462 2.3646243 1.8945786 1.6165917 1.4149239 1.2542787 1.1191591
8  | 5.0413  3.35539 3.3553873 2.30600 2.3060041 1.8595480 1.5922214 1.3968153 1.2403183 1.1081454
9  | 4.7809  3.24984 3.2498355 2.26216 2.2621572 1.8331129 1.5737358 1.3830287 1.2296592 1.0997162
10 | 4.5869  3.16927 3.1692727 2.22814 2.2281389 1.8124611 1.5592359 1.3721836 1.2212554 1.0930581
11 | 4.4370  3.10581 3.1058065 2.20099 2.2009852 1.7958848 1.5475598 1.3634303 1.2144602 1.0876664
12 | 4.3178  3.05454 3.0545396 2.17881 2.1788128 1.7822876 1.5379565 1.3562173 1.2088525 1.0832114
13 | 4.2208  3.01228 3.0122758 2.16037 2.1603687 1.7709334 1.5299196 1.3501713 1.2041462 1.0794687
14 | 4.1405  2.97684 2.9768427 2.14479 2.1447867 1.7613101 1.5230951 1.3450304 1.2001403 1.0762802
15 | 4.0728  2.94671 2.9467129 2.13145 2.1314495 1.7530504 1.5172280 1.3406056 1.1966893 1.0735314
16 | 4.0150  2.92078 2.9207816 2.11991 2.1199053 1.7458837 1.5121302 1.3367572 1.1936854 1.0711372
17 | 3.9651  2.89823 2.8982305 2.10982 2.1098156 1.7396067 1.5076598 1.3333794 1.1910471 1.0690331
18 | 3.9216  2.87844 2.8784405 2.10092 2.1009220 1.7340636 1.5037077 1.3303909 1.1887115 1.0671695
19 | 3.8834  2.86093 2.8609346 2.09302 2.0930241 1.7291328 1.5001888 1.3277282 1.1866293 1.0655074
20 | 3.8495  2.84534 2.8453397 2.08596 2.0859634 1.7247182 1.4970355 1.3253407 1.1847614 1.0640158
21 | 3.8193  2.83136 2.8313596 2.07961 2.0796138 1.7207429 1.4941938 1.3231879 1.1830764 1.0626697
22 | 3.7921  2.81876 2.8187561 2.07387 2.0738731 1.7171444 1.4916196 1.3212367 1.1815487 1.0614488
23 | 3.7676  2.80734 2.8073357 2.06866 2.0686576 1.7138715 1.4892769 1.3194602 1.1801572 1.0603365
24 | 3.7454  2.79694 2.7969395 2.06390 2.0638986 1.7108821 1.4871358 1.3178359 1.1788845 1.0593189
25 | 3.7251  2.78744 2.7874358 2.05954 2.0595386 1.7081408 1.4851713 1.3163451 1.1777160 1.0583844
26 | 3.7066  2.77871 2.7787145 2.05553 2.0555294 1.7056179 1.4833625 1.3149719 1.1766394 1.0575232
27 | 3.6896  2.77068 2.7706830 2.05183 2.0518305 1.7032884 1.4816916 1.3137029 1.1756443 1.0567270
28 | 3.6739  2.76326 2.7632625 2.04841 2.0484071 1.7011309 1.4801434 1.3125268 1.1747218 1.0559887
29 | 3.6594  2.75639 2.7563859 2.04523 2.0452296 1.6991270 1.4787048 1.3114336 1.1738642 1.0553022
30 | 3.6460  2.75000 2.7499957 2.04227 2.0422725 1.6972609 1.4773647 1.3104150 1.1730649 1.0546623
